Name,Capacity,Color,Grade,Qty,Cost
Galaxy A31 A315G,64GB,,C,8,140
Galaxy A5 (2016) A510F,16GB,,A,16,56.0501322
Galaxy A5 (2017) SM-A520F,32GB,,C,11,102.7585757
Galaxy A52s 5G A528B,128GB,,C,8,65
Galaxy A6 A600FN,32GB,,C,27,500
Galaxy J6 J600FN,32GB,,A,6,103
Galaxy M11 SM-M115F,32GB,,A,11,103
Galaxy M13 SM-M135F,64GB,,A,6,75
Galaxy Note 10 Lite N770F,128GB,,C,30,75
